,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
14907,tt0339419,movie,The Mudge Boy,The Mudge Boy,0,2003,94,"Crime,Drama,Romance",7.1,4421,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14908,tt0339450,movie,Names Engraved in Marble,Nimed marmortahvlil,0,2002,95,"Drama,Romance,War",7.1,2158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14909,tt0339489,movie,Palabras encadenadas,Palabras encadenadas,0,2003,89,"Crime,Drama,Thriller",7.0,2346,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14910,tt0339535,movie,The Professional,Profesionalac,0,2003,104,"Comedy,Drama",8.5,6448,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14911,tt0339579,movie,Returner,Ritânâ,0,2002,116,"Action,Adventure,Sci-Fi",6.5,11248,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14912,tt0339707,movie,Song for a Raggy Boy,Song for a Raggy Boy,0,2003,94,"Drama,History",7.6,4100,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14913,tt0339806,movie,Torremolinos 73,Torremolinos 73,0,2003,91,"Comedy,Drama",6.6,3830,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14914,tt0339827,movie,Twist,Twist,0,2003,97,Drama,6.2,1370,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14915,tt0339862,movie,Nobody's Life,La vida de nadie,0,2002,103,"Drama,Mystery,Thriller",7.1,953,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14916,tt0340012,movie,Being Julia,Being Julia,0,2004,104,"Comedy,Drama,Romance",7.0,12336,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14917,tt0340074,movie,Did el hokouma,Did el hokouma,0,1992,116,Drama,7.6,824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14918,tt0340086,movie,Labyrinth,Dédales,0,2003,100,"Crime,Drama,Mystery",6.9,1174,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14919,tt0340163,movie,Hostage,Hostage,0,2005,113,"Action,Crime,Drama",6.5,109004,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
